depth,n_tree,learning_rate,cut_off,accuracy,recall,f1,overall_score
3,100,0.1,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.1,0.1,0.5677966101694916,1.0,0.7213114754098361,0.7630360285264426
3,100,0.1,0.15,0.5830508474576271,0.9878787878787879,0.7260579064587974,0.7656625139317375
3,100,0.1,0.2,0.6067796610169491,0.9727272727272728,0.7345537757437071,0.7713535698293096
3,100,0.1,0.25,0.6322033898305085,0.9454545454545454,0.7419738406658739,0.7732105919836426
3,100,0.1,0.3,0.6593220338983051,0.9272727272727272,0.7527675276752768,0.7797874296154363
3,100,0.1,0.35,0.6644067796610169,0.8727272727272727,0.744186046511628,0.7604400329666392
3,100,0.1,0.4,0.6745762711864407,0.8212121212121212,0.7384196185286103,0.7447360036423906
3,100,0.1,0.45,0.6830508474576271,0.7848484848484848,0.7347517730496453,0.7342170351185858
3,100,0.1,0.5,0.6864406779661016,0.7363636363636363,0.7242921013412817,0.7156988052236732
3,100,0.01,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.01,0.1,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.01,0.15,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.01,0.2,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.01,0.25,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.01,0.3,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.01,0.35,0.6101694915254238,0.9878787878787879,0.7392290249433106,0.7790924347825073
3,100,0.01,0.4,0.635593220338983,0.9030303030303031,0.7348951911220715,0.7578395714971191
3,100,0.01,0.45,0.676271186440678,0.8787878787878788,0.7522697795071336,0.7691096149118968
3,100,0.01,0.5,0.7,0.8181818181818182,0.7531380753138075,0.7571066311652085
3,100,0.001,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.001,0.1,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.001,0.15,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.001,0.2,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
