depth,n_tree,learning_rate,cut_off,accuracy,recall,f1,overall_score
3,100,0.1,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.1,0.1,0.5576271186440678,0.996969696969697,0.7159956474428728,0.7568641543522124
3,100,0.1,0.15,0.5610169491525424,0.990909090909091,0.7163198247535597,0.7560819549383977
3,100,0.1,0.2,0.5677966101694916,0.990909090909091,0.7194719471947195,0.759392549424434
3,100,0.1,0.25,0.5694915254237288,0.990909090909091,0.7202643171806168,0.7602216445044788
3,100,0.1,0.3,0.5728813559322034,0.9848484848484849,0.7206208425720622,0.7594502277842502
3,100,0.1,0.35,0.5779661016949152,0.9787878787878788,0.7217877094972067,0.7595138966600002
3,100,0.1,0.4,0.5898305084745763,0.9696969696969697,0.72562358276644,0.7617170203126621
3,100,0.1,0.45,0.5966101694915255,0.9454545454545454,0.7238979118329467,0.7553208755930059
3,100,0.1,0.5,0.6813559322033899,0.7454545454545455,0.7235294117647058,0.7167799631408803
3,100,0.01,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.01,0.1,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.01,0.15,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.01,0.2,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.01,0.25,0.5779661016949152,0.996969696969697,0.7254685777287762,0.7668014587977962
3,100,0.01,0.3,0.6067796610169491,0.9848484848484849,0.7369614512471656,0.7761965323708665
3,100,0.01,0.35,0.6186440677966102,0.9575757575757575,0.7374562427071177,0.7712253560264952
3,100,0.01,0.4,0.6677966101694915,0.896969696969697,0.7512690355329948,0.7720117808907278
3,100,0.01,0.45,0.6796610169491526,0.8515151515151516,0.748335552596538,0.759837240353614
3,100,0.01,0.5,0.6915254237288135,0.7545454545454545,0.7323529411764705,0.7261412731502462
3,100,0.001,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.001,0.1,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.001,0.15,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.001,0.2,0.6033898305084746,0.9878787878787879,0.7358916478555305,0.7757200887475978
3,100,0.001,0.25,0.6186440677966102,0.9848484848484849,0.7428571428571429,0.7821165651674127
3,100,0.001,0.3,0.6254237288135593,0.9545454545454546,0.7403055229142186,0.7734249020910774
3,100,0.001,0.35,0.6271186440677966,0.9393939393939394,0.738095238095238,0.7682026071856581
3,100,0.001,0.4,0.635593220338983,0.8242424242424242,0.7167325428194994,0.7255227291336356
3,100,0.001,0.45,0.6338983050847458,0.8181818181818182,0.7142857142857142,0.7221219458507594
3,100,0.001,0.5,0.6372881355932203,0.7848484848484848,0.7076502732240437,0.7099289645552496
5,100,0.1,0.05,0.5711864406779661,0.996969696969697,0.7222832052689353,0.7634797809721995
5,100,0.1,0.1,0.5728813559322034,0.9878787878787879,0.7212389380530974,0.760666360621363
5,100,0.1,0.15,0.5796610169491525,0.9757575757575757,0.7219730941704037,0.7591305622923773
5,100,0.1,0.2,0.588135593220339,0.9606060606060606,0.7229190421892816,0.7572202320052271
5,100,0.1,0.25,0.5932203389830508,0.9454545454545454,0.7222222222222222,0.7536323688866062
5,100,0.1,0.3,0.5983050847457627,0.9242424242424242,0.7201889020070839,0.7475788036650903
5,100,0.1,0.35,0.6169491525423729,0.9090909090909091,0.7263922518159805,0.7508107711497543
5,100,0.1,0.4,0.611864406779661,0.8545454545454545,0.7112232030264817,0.725877688117199
5,100,0.1,0.45,0.6152542372881356,0.7878787878787878,0.6961178045515396,0.699750276572821
5,100,0.1,0.5,0.6288135593220339,0.6878787878787879,0.6745913818722139,0.6637612430243451
5,100,0.01,0.05,0.5627118644067797,0.9878787878787879,0.7164835164835165,0.7556913895896947
5,100,0.01,0.1,0.5847457627118644,0.9757575757575757,0.7244094488188977,0.7616375957627793
5,100,0.01,0.15,0.6016949152542372,0.9666666666666667,0.7308132875143185,0.7663916231450741
5,100,0.01,0.2,0.6254237288135593,0.9575757575757575,0.7409144196951934,0.7746379686948367
5,100,0.01,0.25,0.6220338983050847,0.9272727272727272,0.732934131736527,0.7607469191047797
5,100,0.01,0.3,0.6440677966101694,0.9,0.7388059701492536,0.760957922253141
5,100,0.01,0.35,0.6559322033898305,0.8757575757575757,0.7400768245838667,0.7572555345770909
5,100,0.01,0.4,0.676271186440678,0.8575757575757575,0.7476882430647291,0.7605117290270549
5,100,0.01,0.45,0.688135593220339,0.8272727272727273,0.7479452054794521,0.7544511753241728
5,100,0.01,0.5,0.6779661016949152,0.7575757575757576,0.7246376811594203,0.720059846810031
5,100,0.001,0.05,0.5677966101694916,0.9939393939393939,0.7200878155872668,0.7606079398987173
5,100,0.001,0.1,0.5796610169491525,0.990909090909091,0.7250554323725056,0.7652085134102498
5,100,0.001,0.15,0.5796610169491525,0.9848484848484849,0.7238307349665923,0.76278007892141
5,100,0.001,0.2,0.6305084745762712,0.9545454545454546,0.7429245283018867,0.7759928191412042
5,100,0.001,0.25,0.635593220338983,0.9515151515151515,0.7449584816132858,0.7773556178224735
5,100,0.001,0.3,0.6440677966101694,0.9484848484848485,0.7488038277511961,0.7804521576154047
5,100,0.001,0.35,0.6610169491525424,0.906060606060606,0.7493734335839598,0.7721503295990361
