cut_off,accuracy,recall,f1,overall_score
0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
0.1,0.5694915254237288,0.996969696969697,0.7214912280701754,0.7626508168212004
0.15,0.5932203389830508,0.9848484848484849,0.7303370786516855,0.7694686341610737
0.2,0.6033898305084746,0.9787878787878788,0.7340909090909091,0.7720895394624208
0.25,0.6203389830508474,0.9515151515151515,0.7370892018779343,0.7696477788146444
0.3,0.6305084745762712,0.9181818181818182,0.7354368932038835,0.761375728653991
0.35,0.6661016949152543,0.8878787878787879,0.7484035759897829,0.7674613529279416
0.4,0.6813559322033899,0.8575757575757575,0.7506631299734747,0.7631982732508741
0.45,0.6949152542372882,0.803030303030303,0.7464788732394365,0.7481414768356759
0.5,0.7050847457627119,0.7636363636363637,0.7433628318584072,0.7373613137524943
0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
0.1,0.5627118644067797,0.996969696969697,0.7183406113537117,0.7593407242433962
0.15,0.5813559322033899,0.990909090909091,0.7258601553829078,0.7660417261651297
0.2,0.6,0.9757575757575757,0.7318181818181818,0.7691919191919192
0.25,0.6152542372881356,0.9666666666666667,0.7375722543352602,0.7731643860966875
0.3,0.6322033898305085,0.9454545454545454,0.7419738406658739,0.7732105919836426
0.35,0.6576271186440678,0.9181818181818182,0.75,0.7752696456086287
0.4,0.6694915254237288,0.8727272727272727,0.7470817120622567,0.7631001700710861
0.45,0.688135593220339,0.8303030303030303,0.7486338797814208,0.75569083443493
0.5,0.7016949152542373,0.7818181818181819,0.7456647398843931,0.7430592789856041
0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
0.1,0.5661016949152542,1.0,0.7205240174672489,0.7622085707941677
0.15,0.5966101694915255,1.0,0.734966592427617,0.7771922539730474
0.2,0.6237288135593221,0.9848484848484849,0.7454128440366973,0.7846633808148348
0.25,0.6542372881355932,0.9696969696969697,0.7582938388625593,0.7940760322317075
0.3,0.6644067796610169,0.9424242424242424,0.7585365853658537,0.788455869150371
0.35,0.6932203389830508,0.906060606060606,0.7676508344030809,0.7889772598155793
0.4,0.6949152542372882,0.8636363636363636,0.76,0.7728505392912174
0.45,0.6898305084745763,0.8151515151515152,0.7461858529819695,0.750389292202687
0.5,0.7016949152542373,0.7575757575757576,0.7396449704142012,0.7329718810813987
0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
0.1,0.5728813559322034,0.9939393939393939,0.7224669603524229,0.7630959034080066
0.15,0.5915254237288136,0.9878787878787879,0.7301231802911535,0.7698424639662517
0.2,0.5932203389830508,0.9666666666666667,0.7266514806378133,0.7621794954291768
0.25,0.6135593220338983,0.9545454545454546,0.7342657342657342,0.7674568369483623
0.3,0.6338983050847458,0.9333333333333333,0.7403846153846153,0.7692054179342315
0.35,0.6627118644067796,0.9030303030303031,0.7496855345911949,0.7718092340094258
0.4,0.676271186440678,0.8575757575757575,0.7476882430647291,0.7605117290270549
0.45,0.6813559322033899,0.8121212121212121,0.7403314917127072,0.7446028786791031
0.5,0.6745762711864407,0.7484848484848485,0.7201166180758016,0.7143925792490302
0.05,0.5610169491525424,1.0,0.7181719260065288,0.7597296250530237
0.1,0.5694915254237288,1.0,0.7221006564551423,0.7638640606262904
0.15,0.5932203389830508,0.990909090909091,0.7315436241610738,0.7718910180177385
0.2,0.611864406779661,0.9848484848484849,0.7394766780432309,0.7787298565571256
0.25,0.6338983050847458,0.9454545454545454,0.742857142857143,0.7740699977988114
0.3,0.6440677966101694,0.906060606060606,0.7400990099009901,0.7634091375239218
0.35,0.6644067796610169,0.8787878787878788,0.7455012853470437,0.7628986479319798
0.4,0.6864406779661016,0.8363636363636363,0.7489823609226594,0.7572622250841325
0.45,0.6830508474576271,0.7818181818181819,0.7339971550497867,0.7329553947751987
0.5,0.6627118644067796,0.6909090909090909,0.6961832061068703,0.6832680538075803
0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
0.1,0.5677966101694916,0.996969696969697,0.7207009857612267,0.761822430966805
0.15,0.5864406779661017,0.9939393939393939,0.7288888888888888,0.7697563202647948
0.2,0.6084745762711864,0.9848484848484849,0.7377979568671964,0.7770403393289559
0.25,0.6220338983050847,0.9575757575757575,0.7391812865497077,0.7729303141435167
0.3,0.6372881355932203,0.9424242424242424,0.7440191387559809,0.7745771722578145
0.35,0.6677966101694915,0.9090909090909091,0.7537688442211056,0.7768854544938354
0.4,0.6779661016949152,0.8818181818181818,0.7538860103626944,0.7712234312919305
0.45,0.6966101694915254,0.8575757575757575,0.7597315436241611,0.7713058235638147
0.5,0.6915254237288135,0.8090909090909091,0.7458100558659218,0.748808796228548
0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
0.1,0.5677966101694916,1.0,0.7213114754098361,0.7630360285264426
0.15,0.5796610169491525,0.996969696969697,0.7262693156732892,0.7676333431973795
0.2,0.6016949152542372,0.9818181818181818,0.7338618346545867,0.7724583105756686
0.25,0.6186440677966102,0.9515151515151515,0.7362250879249707,0.7687947690789109
0.3,0.6389830508474577,0.9333333333333333,0.7430639324487334,0.7717934388765082
0.35,0.6542372881355932,0.8909090909090909,0.7424242424242423,0.7625235404896421
0.4,0.6627118644067796,0.8606060606060606,0.7405475880052153,0.7546218376726852
0.45,0.6711864406779661,0.803030303030303,0.7320441988950275,0.7354203142010988
0.5,0.6830508474576271,0.7424242424242424,0.723781388478582,0.7164188261201505
0.05,0.5610169491525424,1.0,0.7181719260065288,0.7597296250530237
0.1,0.5711864406779661,0.996969696969697,0.7222832052689353,0.7634797809721995
0.15,0.5983050847457627,0.9939393939393939,0.734602463605823,0.7756156474303265
0.2,0.6203389830508474,0.9848484848484849,0.7437070938215103,0.7829648539069476
0.25,0.6474576271186441,0.9727272727272728,0.7552941176470589,0.7918263391643253
0.3,0.652542372881356,0.9424242424242424,0.7521160822249093,0.7823608991768358
0.35,0.6847457627118644,0.906060606060606,0.7627551020408162,0.7845204902710955
0.4,0.7,0.8696969696969697,0.7643142476697737,0.7780037391222479
0.45,0.7152542372881356,0.8424242424242424,0.7679558011049723,0.7752114269391167
0.5,0.7169491525423729,0.7848484848484848,0.7562043795620438,0.7526673389843005
0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
0.1,0.5728813559322034,1.0,0.7236842105263158,0.7655218554861731
0.15,0.5915254237288136,1.0,0.732519422863485,0.7746816155307662
0.2,0.611864406779661,0.9939393939393939,0.7412429378531072,0.7823489128573874
0.25,0.6322033898305085,0.9787878787878788,0.7485515643105446,0.7865142776429773
0.3,0.652542372881356,0.9575757575757575,0.7550776583034646,0.788398596253526
0.35,0.6813559322033899,0.9212121212121213,0.7638190954773869,0.7887957162976327
