,game_id,season,game_type,week,gameday,weekday,gametime,gametime_hour,gametime_minute,away_team,away_score,home_team,home_score,location,result,total,overtime,pfr,espn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,referee,stadium_id,stadium,outdoor,grass,playoff,home_DVOA_Rank,home_DVOA,away_DVOA_Rank,away_DVOA,home_win,home_afterbye,away_afterbye,tie
11,2011_01_MIN_SD,2011,REG,1,9/11/2011,Sunday,16:15,16,15,MIN,17,SD,24,Home,7,41,0,201109110sdg,310911024,7,7,387,-453,9,-106,-102,43.5,-105,-105,0,outdoors,grass,74,7,00-0011022,00-0022942,Terry McAulay,SDG00,Qualcomm Stadium,1,1,0,16,0,29,-0.2,1,0,0,0
12,2011_01_SEA_SF,2011,REG,1,9/11/2011,Sunday,16:25,16,25,SEA,17,SF,33,Home,16,50,0,201109110sfo,310911025,7,7,213,-239,6,-104,-104,38,-101,-109,1,outdoors,grass,68,15,00-0024279,00-0023436,Jeff Triplette,SFO00,Candlestick Park,1,1,0,6,0.18,19,-0.02,1,0,0,0
13,2011_01_NYG_WAS,2011,REG,1,9/11/2011,Sunday,16:25,16,25,NYG,14,WAS,28,Home,14,42,0,201109110was,310911028,7,7,-111,101,-1,-106,-102,40.5,-110,100,1,outdoors,grass,87,5,00-0022803,00-0022121,Ron Winter,WAS00,FedExField,1,1,0,21,-0.08,12,0.07,1,0,0,0
14,2011_01_DAL_NYJ,2011,REG,1,9/11/2011,Sunday,20:20,20,20,DAL,24,NYJ,27,Home,3,51,0,201109110nyj,310911020,7,7,239,-270,6.5,-106,-102,40.5,-109,-101,0,outdoors,fieldturf,70,6,00-0021678,00-0026898,Alberto Riveron,NYC01,MetLife Stadium,1,0,0,11,0.12,13,0.06,1,0,0,0
15,2011_01_NE_MIA,2011,REG,1,9/12/2011,Monday,19:00,19,0,NE,38,MIA,24,Home,-14,62,0,201109120mia,310912015,7,7,-330,289,-7,-104,-104,46.5,100,-110,1,outdoors,grass,82,11,00-0019596,00-0026197,Peter Morelli,MIA00,Sun Life Stadium,1,1,0,18,-0.02,4,0.22,0,0,0,0
16,2011_01_OAK_DEN,2011,REG,1,9/12/2011,Monday,22:15,22,15,OAK,23,DEN,20,Home,-3,43,0,201109120den,310912007,7,7,153,-170,3,102,-110,42.5,-103,-107,1,outdoors,grass,75,6,00-0023460,00-0023541,Jerome Boger,DEN00,Sports Authority Field at Mile High,1,1,0,24,-0.13,22,-0.09,0,0,0,0
17,2011_02_OAK_BUF,2011,REG,2,9/18/2011,Sunday,13:00,13,0,OAK,35,BUF,38,Home,3,73,0,201109180buf,310918002,6,7,171,-190,3.5,-106,-102,40.5,-105,-105,0,outdoors,a_turf,65,5,00-0023460,00-0023682,Mike Carey,BUF00,Ralph Wilson Stadium,1,0,0,23,-0.1,22,-0.09,1,0,0,0
18,2011_02_GB_CAR,2011,REG,2,9/18/2011,Sunday,13:00,13,0,GB,30,CAR,23,Home,-7,53,0,201109180car,310918029,10,7,-539,453,-10.5,101,-109,45.5,-105,-105,0,outdoors,grass,64,11,00-0023459,00-0027939,Alberto Riveron,CAR00,Bank of America Stadium,1,1,0,20,-0.04,2,0.26,0,0,0,0
19,2011_02_KC_DET,2011,REG,2,9/18/2011,Sunday,13:00,13,0,KC,3,DET,48,Home,45,51,0,201109180det,310918008,7,7,285,-325,9,-125,115,45,-104,-106,0,dome,fieldturf,70,0,00-0023662,00-0026498,Tony Corrente,DET00,Ford Field,0,0,0,10,0.13,27,-0.18,1,0,0,0
20,2011_02_CLE_IND,2011,REG,2,9/18/2011,Sunday,13:00,13,0,CLE,27,IND,19,Home,-8,46,0,201109180clt,310918011,7,7,-120,109,-1,-113,104,39.5,102,-113,0,closed,fieldturf,70,0,00-0027688,00-0003292,Gene Steratore,IND00,Lucas Oil Stadium,0,0,0,32,-0.35,25,-0.15,0,0,0,0
21,2011_02_TB_MIN,2011,REG,2,9/18/2011,Sunday,13:00,13,0,TB,24,MIN,20,Home,-4,44,0,201109180min,310918016,7,7,102,-112,1,-102,-106,41,-105,-105,0,dome,sportturf,70,0,00-0026993,00-0011022,Jeff Triplette,MIN00,Mall of America Field,0,0,0,29,-0.2,30,-0.27,0,0,0,0
22,2011_02_CHI_NO,2011,REG,2,9/18/2011,Sunday,13:00,13,0,CHI,13,NO,30,Home,17,43,0,201109180nor,310918018,7,10,204,-228,4.5,-104,-104,46.5,100,-110,0,dome,sportturf,70,0,00-0024226,00-0020531,Walt Coleman,NOR00,Mercedes-Benz Superdome,0,0,0,1,0.29,15,0.01,1,0,0,0
23,2011_02_JAX_NYJ,2011,REG,2,9/18/2011,Sunday,13:00,13,0,JAX,3,NYJ,32,Home,29,35,0,201109180nyj,310918020,7,7,330,-380,9,-115,106,38,-105,-105,0,outdoors,fieldturf,66,12,00-0022864,00-0026898,Scott Green,NYC01,MetLife Stadium,1,0,0,11,0.12,28,-0.2,1,0,0,0
24,2011_02_SEA_PIT,2011,REG,2,9/18/2011,Sunday,13:00,13,0,SEA,0,PIT,24,Home,24,24,0,201109180pit,310918023,7,7,604,-750,13.5,-104,-104,39.5,-103,-107,0,outdoors,grass,63,12,00-0024279,00-0022924,Bill Leavy,PIT00,Heinz Field,1,1,0,3,0.22,19,-0.02,1,0,0,0
25,2011_02_BAL_TEN,2011,REG,2,9/18/2011,Sunday,13:00,13,0,BAL,13,TEN,26,Home,13,39,0,201109180oti,310918010,7,7,-242,216,-5.5,104,-113,39.5,-107,-103,0,outdoors,grass,76,11,00-0026158,00-0007091,Clete Blakeman,NAS00,LP Field,1,1,0,14,0.05,8,0.14,1,0,0,0
26,2011_02_ARI_WAS,2011,REG,2,9/18/2011,Sunday,13:00,13,0,ARI,21,WAS,22,Home,1,43,0,201109180was,310918028,7,7,193,-215,4.5,-106,-102,44.5,-109,-101,0,outdoors,grass,66,7,00-0025423,00-0022121,Peter Morelli,WAS00,FedExField,1,1,0,21,-0.08,26,-0.17,1,0,0,0
27,2011_02_DAL_SF,2011,REG,2,9/18/2011,Sunday,16:05,16,5,DAL,27,SF,24,Home,-3,51,1,201109180sfo,310918025,7,7,-167,151,-3,-108,100,41,102,-113,0,outdoors,grass,70,3,00-0021678,00-0023436,Ron Winter,SFO00,Candlestick Park,1,1,0,6,0.18,13,0.06,0,0,0,0
28,2011_02_CIN_DEN,2011,REG,2,9/18/2011,Sunday,16:15,16,15,CIN,22,DEN,24,Home,2,46,0,201109180den,310918007,7,6,153,-170,3.5,-123,114,40.5,-104,-106,0,outdoors,grass,69,6,00-0027973,00-0023541,Ed Hochuli,DEN00,Sports Authority Field at Mile High,1,1,0,24,-0.13,17,-0.01,1,0,0,0
29,2011_02_HOU_MIA,2011,REG,2,9/18/2011,Sunday,16:15,16,15,HOU,23,MIA,13,Home,-10,36,0,201109180mia,310918015,7,6,-151,137,-3,100,-108,46.5,-106,-104,0,outdoors,grass,87,15,00-0022787,00-0026197,John Parry,MIA00,Sun Life Stadium,1,1,0,18,-0.02,5,0.2,0,0,0,0
30,2011_02_SD_NE,2011,REG,2,9/18/2011,Sunday,16:15,16,15,SD,21,NE,35,Home,14,56,0,201109180nwe,310918017,7,6,244,-275,6.5,-104,-104,53.5,106,-117,0,outdoors,fieldturf,63,12,00-0022942,00-0019596,Walt Anderson,BOS00,Gillette Stadium,1,0,0,4,0.22,16,0,1,0,0,0
31,2011_02_PHI_ATL,2011,REG,2,9/18/2011,Sunday,20:20,20,20,PHI,31,ATL,35,Home,4,66,0,201109180atl,310918001,7,7,-133,120,-2.5,-106,-102,49,-110,100,0,dome,fieldturf,70,0,00-0020245,00-0026143,Carl Cheffers,ATL00,Georgia Dome,0,0,0,7,0.17,9,0.13,1,0,0,0
32,2011_02_STL_NYG,2011,REG,2,9/19/2011,Monday,20:30,20,30,STL,16,NYG,28,Home,12,44,0,201109190nyg,310919019,8,8,273,-310,7,-112,104,43.5,108,-119,0,outdoors,fieldturf,60,6,00-0027854,00-0022803,Terry McAulay,NYC01,MetLife Stadium,1,0,0,12,0.07,31,-0.33,1,0,0,0
33,2011_03_NE_BUF,2011,REG,3,9/25/2011,Sunday,13:00,13,0,NE,31,BUF,34,Home,3,65,0,201109250buf,310925002,7,7,-310,273,-7,105,-114,54,-107,-103,1,outdoors,a_turf,78,8,00-0019596,00-0023682,Carl Cheffers,BUF00,Ralph Wilson Stadium,1,0,0,23,-0.1,4,0.22,1,0,0,0
34,2011_03_JAX_CAR,2011,REG,3,9/25/2011,Sunday,13:00,13,0,JAX,10,CAR,16,Home,6,26,0,201109250car,310925029,7,7,153,-170,3.5,-116,107,43,-110,100,0,outdoors,grass,75,4,00-0027948,00-0027939,Bill Leavy,CAR00,Bank of America Stadium,1,1,0,20,-0.04,28,-0.2,1,0,0,0
35,2011_03_SF_CIN,2011,REG,3,9/25/2011,Sunday,13:00,13,0,SF,13,CIN,8,Home,-5,21,0,201109250cin,310925004,7,7,102,-113,1,-101,-107,38.5,102,-113,0,outdoors,fieldturf,71,2,00-0023436,00-0027973,Jerome Boger,CIN00,Paul Brown Stadium,1,0,0,17,-0.01,6,0.18,0,0,0,0
36,2011_03_MIA_CLE,2011,REG,3,9/25/2011,Sunday,13:00,13,0,MIA,16,CLE,17,Home,1,33,0,201109250cle,310925005,7,7,-125,113,-1,-117,108,42.5,-105,-105,0,outdoors,grass,70,5,00-0026197,00-0027688,Walt Anderson,CLE00,Cleveland Browns Stadium,1,1,0,25,-0.15,18,-0.02,1,0,0,0
37,2011_03_DET_MIN,2011,REG,3,9/25/2011,Sunday,13:00,13,0,DET,26,MIN,23,Home,-3,49,1,201109250min,310925016,7,7,-160,144,-3,-108,100,44.5,-102,-108,1,dome,sportturf,70,0,00-0026498,00-0011022,Ron Winter,MIN00,Mall of America Field,0,0,0,29,-0.2,10,0.13,0,0,0,0
38,2011_03_HOU_NO,2011,REG,3,9/25/2011,Sunday,13:00,13,0,HOU,33,NO,40,Home,7,73,0,201109250nor,310925018,7,7,157,-174,3.5,-113,104,51,-107,-103,0,dome,sportturf,70,0,00-0022787,00-0020531,Tony Corrente,NOR00,Mercedes-Benz Superdome,0,0,0,1,0.29,5,0.2,1,0,0,0
39,2011_03_NYG_PHI,2011,REG,3,9/25/2011,Sunday,13:00,13,0,NYG,29,PHI,16,Home,-13,45,0,201109250phi,310925021,6,7,337,-389,9,-120,111,46.5,-103,-107,1,outdoors,grass,76,5,00-0022803,00-0020245,Jeff Triplette,PHI00,Lincoln Financial Field,1,1,0,9,0.13,12,0.07,0,0,0,0
40,2011_03_DEN_TEN,2011,REG,3,9/25/2011,Sunday,13:00,13,0,DEN,14,TEN,17,Home,3,31,0,201109250oti,310925010,7,7,273,-310,7,-108,100,43.5,-109,-101,0,outdoors,grass,73,11,00-0023541,00-0007091,John Parry,NAS00,LP Field,1,1,0,14,0.05,24,-0.13,1,0,0,0
