away_moneyline,home_moneyline,spread_line,home_spread_odds,total_line,temp,home_DVOA_Rank,home_DVOA,away_DVOA_Rank,away_DVOA,home_win
-105,-105,-1.0,-110,43.0,58,11,0.12,16,0.0,1
-122,111,-1.5,103,44.0,62,30,-0.27,15,0.01,0
125,-138,3.0,114,44.0,72,14,0.05,5,0.2,0
-215,193,-4.0,-105,46.0,70,26,-0.17,3,0.22,0
162,-180,3.5,107,41.5,79,22,-0.09,27,-0.18,0
760,-1000,14.0,101,43.0,70,13,0.06,31,-0.33,1
-543,456,-10.0,-108,47.0,70,29,-0.2,2,0.26,0
760,-1000,13.5,-108,49.0,70,1,0.29,32,-0.35,1
-525,442,-10.0,-108,38.5,60,28,-0.2,8,0.14,1
635,-796,12.0,-105,43.0,48,8,0.14,26,-0.17,1
158,-175,3.0,-118,47.0,54,20,-0.04,29,-0.2,0
377,-440,10.0,105,41.0,70,5,0.2,28,-0.2,1
423,-500,9.5,-110,43.5,41,12,0.07,18,-0.02,1
-900,704,-13.5,-108,48.5,70,31,-0.33,1,0.29,1
337,-389,9.0,115,43.5,62,14,0.05,32,-0.35,1
188,-210,4.0,-106,46.5,70,23,-0.1,21,-0.08,1
-171,154,-3.0,106,43.5,56,24,-0.13,10,0.13,0
-169,152,-3.0,104,52.0,40,3,0.22,4,0.22,1
-114,103,-1.0,100,37.5,56,19,-0.02,17,-0.01,0
370,-431,9.0,-106,38.5,67,6,0.18,25,-0.15,1
146,-162,3.0,-111,49.0,42,9,0.13,13,0.06,1
-158,143,-3.0,-106,44.5,63,27,-0.18,16,0.0,1
118,-130,2.5,-105,45.0,57,23,-0.1,11,0.12,0
457,-545,11.0,106,46.0,70,13,0.06,19,-0.02,1
446,-530,10.5,-102,42.5,70,5,0.2,25,-0.15,1
-300,264,-6.5,103,45.0,70,32,-0.35,7,0.17,0
205,-230,5.0,-111,41.0,62,27,-0.18,18,-0.02,0
389,-455,9.0,-102,50.5,70,1,0.29,30,-0.27,1
-240,214,-5.0,-102,38.0,56,21,-0.08,6,0.18,0
293,-335,7.0,-109,41.5,62,22,-0.09,24,-0.13,0
123,-136,1.5,-118,41.5,68,14,0.05,17,-0.01,0
106,-117,1.0,-111,41.5,70,26,-0.17,31,-0.33,1
431,-510,9.5,-113,51.5,54,4,0.22,12,0.07,0
-223,199,-5.5,103,50.5,53,16,0.0,2,0.26,0
176,-196,3.5,105,41.5,50,3,0.22,8,0.14,0
310,-355,9.0,112,47.5,51,9,0.13,15,0.01,0
289,-330,7.5,-104,47.5,69,16,0.0,22,-0.09,0
103,-114,1.0,-109,49.5,70,7,0.17,1,0.29,0
171,-190,3.5,-102,47.5,57,20,-0.04,14,0.05,0
-190,171,-3.5,-108,40.5,62,17,-0.01,3,0.22,0
120,-132,2.5,-114,36.5,60,25,-0.15,31,-0.33,0
199,-222,4.5,-109,48.5,70,13,0.06,23,-0.1,1
-146,132,-3.0,-115,37.5,70,32,-0.35,28,-0.2,0
166,-184,3.0,-121,42.0,67,27,-0.18,24,-0.13,0
191,-213,4.0,-107,38.5,79,18,-0.02,21,-0.08,1
569,-700,13.5,102,47.0,60,9,0.13,26,-0.17,0
-183,165,-3.5,-110,45.5,77,30,-0.27,5,0.2,0
-300,264,-7.0,-119,38.5,50,19,-0.02,8,0.14,1
122,-135,2.5,-110,42.5,69,15,0.01,10,0.13,1
184,-205,4.0,-104,42.5,58,6,0.18,12,0.07,1
123,-136,2.5,-104,47.0,58,11,0.12,4,0.22,0
538,-655,12.5,-102,49.0,47,2,0.26,29,-0.2,1
-280,248,-6.5,-104,38.5,54,24,-0.13,11,0.12,1
277,-315,7.0,-104,39.5,67,8,0.14,17,-0.01,1
100,-110,1.0,-104,34.5,57,25,-0.15,28,-0.2,1
285,-325,7.0,-101,47.5,70,10,0.13,20,-0.04,1
583,-720,13.5,100,48.5,32,2,0.26,30,-0.27,1
141,-156,3.0,104,44.0,80,18,-0.02,23,-0.1,1
115,-127,1.0,-118,46.0,70,29,-0.2,22,-0.09,0
-330,289,-7.0,-113,43.0,62,21,-0.08,13,0.06,0
442,-525,10.0,100,40.5,55,6,0.18,26,-0.17,1
143,-158,3.0,-102,40.5,70,31,-0.33,19,-0.02,0
