depth,n_tree,cut_off,accuracy,recall,f1,overall_score
3,100,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.1,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.15,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
3,100,0.2,0.5830508474576271,0.9939393939393939,0.7272727272727272,0.7680876562232494
3,100,0.25,0.6,0.9757575757575757,0.7318181818181818,0.7691919191919192
3,100,0.3,0.6220338983050847,0.9636363636363636,0.7403958090803259,0.7753553570072581
3,100,0.35,0.6423728813559322,0.9484848484848485,0.7479091995221028,0.7795889764542944
3,100,0.4,0.6542372881355932,0.8848484848484849,0.7411167512690355,0.7600675080843713
3,100,0.45,0.6813559322033899,0.8181818181818182,0.7417582417582418,0.7470986640478167
3,100,0.5,0.6847457627118644,0.7454545454545455,0.7256637168141592,0.7186213416601896
5,100,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
5,100,0.1,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
5,100,0.15,0.5745762711864407,0.996969696969697,0.7238723872387237,0.7651394517982871
5,100,0.2,0.5847457627118644,0.9848484848484849,0.7262569832402235,0.7652837436001909
5,100,0.25,0.6050847457627119,0.9696969696969697,0.7331042382588775,0.7692953179061863
5,100,0.3,0.6237288135593221,0.9363636363636364,0.7357142857142857,0.7652689118790814
5,100,0.35,0.6610169491525424,0.9090909090909091,0.75,0.7733692860811505
5,100,0.4,0.6830508474576271,0.8696969696969697,0.7542706964520368,0.7690061712022113
5,100,0.45,0.6932203389830508,0.8151515151515152,0.7482614742698193,0.7522111094681284
5,100,0.5,0.6864406779661016,0.7545454545454545,0.7291361639824305,0.723374098831329
7,100,0.05,0.5610169491525424,1.0,0.7181719260065288,0.7597296250530237
7,100,0.1,0.5694915254237288,0.996969696969697,0.7214912280701754,0.7626508168212004
7,100,0.15,0.5830508474576271,0.9939393939393939,0.7272727272727272,0.7680876562232494
7,100,0.2,0.5949152542372881,0.9848484848484849,0.7311586051743532,0.7703074480867086
7,100,0.25,0.6084745762711864,0.9606060606060606,0.7329479768786128,0.7673428712519533
7,100,0.3,0.6406779661016949,0.9272727272727272,0.7427184466019418,0.7702230466587879
7,100,0.35,0.6610169491525424,0.8878787878787879,0.7455470737913487,0.7648142702742263
7,100,0.4,0.6847457627118644,0.8606060606060606,0.753315649867374,0.7662224910617663
7,100,0.45,0.6932203389830508,0.8181818181818182,0.7489597780859917,0.7534539784169536
7,100,0.5,0.6864406779661016,0.7515151515151515,0.7283406754772395,0.7220988349861642
9,100,0.05,0.5627118644067797,1.0,0.7189542483660131,0.7605553709242643
9,100,0.1,0.5745762711864407,0.996969696969697,0.7238723872387237,0.7651394517982871
9,100,0.15,0.5813559322033899,0.9878787878787879,0.7252502780867631,0.7648283327229803
